date,transactions
02/01/2016,69628
04/01/2016,17829
05/01/2016,89018
06/01/2016,88846
07/01/2016,80412
08/01/2016,83344
09/01/2016,100975
10/01/2016,97323
11/01/2016,80506
12/01/2016,77696
13/01/2016,76217
14/01/2016,74909
15/01/2016,83105
16/01/2016,99698
17/01/2016,95155
18/01/2016,81486
19/01/2016,76092
20/01/2016,82989
21/01/2016,74141
22/01/2016,79760
23/01/2016,95634
24/01/2016,89786
25/01/2016,76042
26/01/2016,75639
27/01/2016,76912
28/01/2016,73110
29/01/2016,81081
30/01/2016,98201
31/01/2016,95671
01/02/2016,87827
02/02/2016,84928
03/02/2016,84704
04/02/2016,82446
05/02/2016,89355
06/02/2016,100641
07/02/2016,78884
08/02/2016,75047
09/02/2016,79222
10/02/2016,86720
11/02/2016,81444
12/02/2016,87451
13/02/2016,101849
14/02/2016,99462
15/02/2016,83293
16/02/2016,81192
17/02/2016,80996
18/02/2016,74797
19/02/2016,82564
20/02/2016,95533
21/02/2016,91533
22/02/2016,79775
23/02/2016,77672
24/02/2016,78364
25/02/2016,74029
26/02/2016,80200
27/02/2016,95659
28/02/2016,90059
29/02/2016,80152
01/03/2016,87759
02/03/2016,88779
03/03/2016,79787
04/03/2016,86493
05/03/2016,102170
06/03/2016,95178
07/03/2016,84681
08/03/2016,84111
09/03/2016,79580
10/03/2016,76879
11/03/2016,82962
12/03/2016,97275
13/03/2016,90435
14/03/2016,78924
15/03/2016,79651
16/03/2016,81758
17/03/2016,76268
18/03/2016,83179
19/03/2016,96783
20/03/2016,89769
21/03/2016,81185
22/03/2016,77409
23/03/2016,82331
24/03/2016,86834
25/03/2016,78832
26/03/2016,91232
27/03/2016,82305
28/03/2016,76647
29/03/2016,75782
30/03/2016,75656
31/03/2016,77024
01/04/2016,89055
02/04/2016,104451
03/04/2016,103230
04/04/2016,85017
05/04/2016,82629
06/04/2016,81402
07/04/2016,76736
08/04/2016,83533
09/04/2016,97454
10/04/2016,91977
11/04/2016,77860
12/04/2016,82484
13/04/2016,79657
14/04/2016,74291
15/04/2016,82751
16/04/2016,90313
17/04/2016,93018
18/04/2016,103559
19/04/2016,99289
20/04/2016,95079
21/04/2016,85533
22/04/2016,86662
23/04/2016,100468
24/04/2016,93993
25/04/2016,78301
26/04/2016,77218
27/04/2016,77369
28/04/2016,72957
29/04/2016,82711
30/04/2016,102800
01/05/2016,102012
02/05/2016,85259
03/05/2016,85500
04/05/2016,86207
05/05/2016,82198
06/05/2016,91159
07/05/2016,118222
08/05/2016,97132
09/05/2016,82043
10/05/2016,78194
11/05/2016,80761
12/05/2016,76099
13/05/2016,82265
14/05/2016,97755
15/05/2016,95910
16/05/2016,81129
17/05/2016,78372
18/05/2016,74552
19/05/2016,74826
20/05/2016,84185
21/05/2016,97053
22/05/2016,93629
23/05/2016,79595
24/05/2016,74225
25/05/2016,75039
26/05/2016,74328
27/05/2016,88580
28/05/2016,89086
29/05/2016,87606
30/05/2016,80249
31/05/2016,92987
01/06/2016,88574
02/06/2016,79393
03/06/2016,84747
04/06/2016,100607
